AAA_ADJ;x;x;x;x;x;x;x;x;x;x;x;x;x;x
AAA;x;x;x;x;x;x;x;x;x;x;x;x;x;x
AAC_ADJ;Aachener;Aachener;Aachener;Aachener;Aquisgranés;Aquisgranese;aachener;Aachener;aachener;Aachener;Aachener;Ààõåíåğ;Aachener;x
AAC;Aachen;Aix-la-Chapelle;Aachen;Aachen;Aquisgrán;Aquisgrana;Aachen;Aachen;Aachen;Aachen;Aachen;Ààõåí;Aachen;x
ABB_ADJ;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;Dongolano;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;Äîíãîëàí;Dongolan;x
ABB;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Äîíãîëà;Dongola;x
ABE_ADJ;Abenaki;Abenaki;Abenaki;Abenakowie;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Àáåíàêè;Abenaki;x
ABE;Abenaki;Abenaki;Abenaki;Abenakowie;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Àáåíàêè;Abenaki;x
ABO_ADJ;Aborigine;Aborigène;Ureinwohner;Aborygeni;Aborigen;Aborigeno;bennszülött;Domorodec;bennszülött;Inboorling;Aborígene;Àáîğèãåí;Alkuasukas;x
ABO;The Aborigines;Les Aborigènes;Die Ureinwohner;Aborygeni;Los aborigenes;Gli aborigeni;A bennszülöttek;Domorodci;A bennszülöttek;De Aboriginals;Os aborígenes;Àáîğèãåíû;Aborigines;x
ACH_ADJ;Achaean;Achéen;Achaean;Achajskim;Acayan;Acheo;Achaean;Achaean;Achaean;Achaean;Aqueo;Àõåéñêàÿ;Achaean;x
ACH;Achaea;Achaïe;Achaea;Achaja;Acaya;Acaia;Achaea;Achaea;Achaea;Achaea;Acaia;Àõåèÿ;Achaea;x
ADA_ADJ;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Àäàë;Adal;x
ADA;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Àäàë;Adal;x
ADU_ADJ;Andalusian;Andalou;Andalusisch;Andaluzyjski;Andaluz;Andaluso;Andalúz;Andaluskı;Andalúz;Andalusisch;Andaluz;Àíäàëóññêèé;Andalusian;x
ADU;Andalusia;Andalousie;Andalusien;Andaluzja;Andalucía;Andalusia;Andalúzia;Andalusie;Andalúzia;Andalusië;Andaluzia;Àíäàëóñèÿ;Andalusia;x
AES;Anglo-Saxony;Anglo-Saxe;Anglo-Sachsen;Anglo-Saksonia;Anglosajona;Anglo-Sassonia;Angol-Szász;Anglosaské;Angol-Szász;Anglo-Saksen;Anglo-saxônia;Àíãëî-Ñàêñîíèÿ;Anglo-Saksi;x
AES_ADJ;Anglo-Saxon;anglo-saxon;Angelsächsisch;Anglosaski;anglosajón;anglosassone;angolszász;Anglosaskı;angolszász;Angelsaksisch;Anglo-saxão;Àíãëîñàêñîíñêèé;Anglosaksinen;x
AFA_ADJ;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Àôàğ;Afar;x
AFA;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Àôàğ;Afar;x
AGC;Angoche;Angoche;Angoche;Angoche;Angoche;Angoche;Angoche;Angoše;Angoche;Angoche;Angoche;Àíãî÷å;Angoche;x
AGC_ADJ;Angochean;Angochean;Angochäer;Angochean;Angoqueño;Angochean;Angochean;Angoèan;Angochean;Angochean;Angocheano;Àíãî÷ñêèé;Angochean;x
AGU;Anguilla;Anguilla;Anguilla;Anguilla;Anguila;Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;Anguila;Àíãèëüÿ;Anguilla;x
AGU_ADJ;Anguillean;Anguillais;Anguilläer;Anguillean;Anguileano;Anguillean;Anguillean;Anguillean;Anguillean;Anguillean;Anguilean;Àíãèëüñêèé;Anguillean;x
AIN_ADJ;Ainu;Ainu;Ainu;Ainu;Ainu;Ainu;ainu;Ainu;ainu;ainu;Ainu;Àéíû;Ainu;x
AIN;Ainu;Ainu;Ainu;Ainu;Ainu;Ainu;ainu;Ainu;ainu;ainu;Ainu;Àéíû;Ainu;x
AJU_ADJ;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajúuran;Àäæóğàí;Ajuuraan;x
AJU;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Àäæóğàí;Ajuuraan;x
AKH_ADJ;Astrakhani;Astrakhani;Astrachani;Karakuli;Astracáni;Astracano;Astrakhani;Astrakhani;Astrakhani;Astrakhani;Astrakhani;Àñòğàõàíè;Astrakhani;x
AKH;Astrakhan;Astrakan;Astrachan;Karakul;Astracán;Astracan;Asztrahán;Astrachan;Asztrahán;Astrakan;Astracã;Àñòğàõàí;astrakaani;x
AKK_ADJ;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Àê Êîşíëó;ak Koyunlu;x
AKK;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Àê Êîşíëó;ak Koyunlu;x
ALE_ADJ;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Àëîíñîí;Alençon;x
ALE;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Àëîíñîí;Alençon;x
ALH_ADJ;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Õààñà;Haasa;x
ALH;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Õààñà;Haasa;x
ALI_ADJ;Alien;Alien;Ausländer;obcy;extranjero;alieno;idegen;cizinec;idegen;vreemdeling;alienígena;Èíîïëàíåòÿíèí;ulkomaalainen;x
ALI_anarcho_liberal;Grey Faction;Faction des Gris;Graue Fraktion;Gray Faction;Grey Faction;Fazione grigia;Szürke frakció;Šedá frakce;Szürke frakció;Gray Faction;Faction Gris;Ñåğàÿ Ôğàêöèÿ;Harmaa Faction;x
ALI_communist;Exploit Faction;Faction de l'Exploit;Fraktion der Ausbeutung;Frakcja Exploit;Facción de la explotación;Fazione dello sfruttamento;Az Exploit frakciója;Frakce vıvoje;Az Exploit frakciója;Faction of the Exploit;Faction of the Exploit;Èñïîëüçîâàòü Ôğàêöèş;Exploitin fraktio;x
ALI_conservative;Green Faction;Faction des Verts;Fraktion der Grünen;Frakcja Zielonych;Facción de los Verdes;Fazione dei verdi;A Zöldek frakciója;Frakce zelenıch;A Zöldek frakciója;Faction of the Greens;Faction of the Greens;Çåëåíàÿ Ôğàêöèÿ;Vihreiden fraktio;x
ALI_fascist;Synthetic Faction;Faction des Synthetics;Fraktion der Syntheten;Frakcja Syntetycznych;Facción de los Sintéticos;Fazione dei Sintetici;A Szintetikus frakciója;Frakci syntetiky;A Szintetikus frakciója;Faction of the Synthetics;Faction of the Synthetics;Ôğàêöèÿ ×åğíîé Äûğû;Synteettisistä fraktio;x
ALI_liberal;Yun Key Faction;Faction de Jean Key;Fraktion von Yan Key;Frakcja Yan Key;Facción de Yan Key;Fazione di Yan Key;Yan kulcs frakciója;Frakce Yan Key;Yan kulcs frakciója;Faction of Yan Key;Faction of Yan Key;Ôğàêöèÿ ßí Êû;Yan-avaimen fraktio;x
ALI_reactionary;Xenu Faction;Faction de Xenu;Fraktion von Xenu;Frakcja Xenu;Facción de Xenu;La fazione di Xenu;Xenu frakciója;Xenuova frakce;Xenu frakciója;Xenu's Faction;A facção de Xenu;Ôğàêöèÿ Êñåíó;Xenan fraktio;x
ALI_socialist;Nordic Faction;Faction des Nordiques;Fraktion der Nordiques;Frakcja Nordiques;Facción de los Nordiques;Fazione dei Nordiques;A Nordiques frakciója;Frakce Nordiques;A Nordiques frakciója;Faction of the Nordiques;Faction of the Nordiques;Ñêàíäèíàâñêàÿ Ôğàêöèÿ;Nordiquesin fraktio;x
ALI;the Alien Invaders;les Envahisseurs Aliens;die Ausländische Invasore;Alien Invaders;Invasores alienígenas;Invasori alieni;Alien Invaders;Alien Invaders;Alien Invaders;Alien Invaders;Invasores estrangeiros;Èíîïëàíåòíûå Çàõâàò÷èêè;Alien Invaders;x
ALN_ADJ;Alan;Alain;Alan;Alan;Alan;Alan;Alan;Alan;Alan;Alan;Alan;Àëàí;Alan;x
ALN;Alania;Alanie;Alania;Alania;Alania;Alania;Alania;Alania;Alania;Alania;Alania;Àëàíèÿ;Alania;x
ALO_ADJ;Alodian;Alodien;Alodian;Alodian;Alodiano;Alodiano;Alodian;Alodian;Alodian;Alodian;Alodiano;Àëîäèÿí;Alodian;x
ALO;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Àëîäèÿ;Alwa tilan;x
ALS_ADJ;Alsatian;Alsacien;Elsässisch;Alzacjan;alsaciano;Alsaziano;elzászi;vlcák;elzászi;Elzasser;Alsaciano;İëüçàññêèé;saksanpaimenkoira;x
ALS;Alsace;Alsace;Elsass;Alzacja;Alsacia;Alsazia;Elzász;Alsace;Elzász;Elzas;Alsácia;İëüçàñ;Elsass;x
ALT;Altai;Altaï;Altai;A³taj;Altai;Altaj;Altai;Altai;Altai;Altai;Altai;Àëòàé;Altai;x
ALT_ADJ;Altai;altaïen;Altaisch;A³taj;Altai;Altaico;Altai;Altai;Altai;Altai;Altai;Àëòàé;altai;x
ALW;Alawites;Alaouites;Alawiten;Alawites;Alawites;alawiti;Alaviták;Alawites;Alaviták;Alawieten;Alawites;Àëàâèòû;Alawites;x
ALW_ADJ;Alawite;Alaouite;Alawit;Alawite;Alauita;alawita;Alawite;Alawite;Alawite;Alawieten;Alawite;àëàâèòîâ;Alawite;x
AMA_ADJ;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Àìàãî;Amago;x
AMA;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Àìàãî;Amago;x
AMD_ADJ;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Àìàäíàãàğ;Ahmadnagar;x
AMD;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Àìàäíàãàğ;Ahmadnagar;x
AMG_ADJ;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Àğìàíüÿê;Armagnac;x
AMG;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Àğìàíüÿê;Armagnac;x
AND_absolute_monarchy;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_ADJ;Andhran;Andhrien;Andhrich;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğàí;Andhra;x
AND_bourgeois_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_democracy;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_fascist_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_hms_government;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_presidential_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_proletarian_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_prussian_constitutionalism;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_theocracy;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
ANG_ADJ;Angolan;Angolais;Angolanisch;Angolan;Angoleño;Angolano;angolai;Angolan;angolai;Angolese;Angolano;Àíãîëüñêèé;Angolan;x
ANG;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Àíãîëà;Angola;x
