KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
presidential_dictatorship;Military Dictatorship;Dictature Militaire;Militärdiktatur;;Dictatura Militar;Dittatura Militare;;;;;;;;;;;;x;;;
bourgeois_dictatorship;Radical Dictatorship;Dictature Radicale;Radikaldiktatur;;Dictatura Radical;Dittatura Radicale;;;;;;;;;;;;x;;;
prussian_constitutionalism;Semi-Constitutional Monarchy;Monarchie Semi-Constitutionelle;Halbkonstitutionelle Monarchie;;Monarquía Semiconstitucional;Monarchia Semi-Costituzionale;;;;;;;;;;;;x;;;
hms_government;Constitutional Monarchy;Monarchie Constitutionelle;Konstitutionelle Monarchie;;Monarquía Constitucional;Monarchia Costituzionale;;;;;;;;;;;;x;;;
democracy;Constitutional Republic;République Constitutionelle;Konstitutionelle Republik;;República Constitucional;Repubblica Costituzionale;;;;;;;;;;;;x;;;
noIssue;Apolitical Group;Groupe apolitique;Apolitische Gruppe;Grupa Apolityczna;Grupo apolitico;Gruppo apolitico;Apolitikus csoport;Apolitická skupina;Apolitikus csoport;Apolitieke groep;Grupo Apolítico;Àïîëèòè÷åñêàÿ ãğóïïà;Apoliittinen ryhmä;x
noIssue_desc;This faction gives no damn about anything.;Cette faction se fout de rien.;Diese Fraktion macht nichts aus.;Ta frakcja nic nie daje.;A esta facción no le importa nada.;A questa fazione non gliene frega niente.;Ez a frakció nem ad semmit semmit.;Tato frakce nic neudìlá.;Ez a frakció nem ad semmit semmit.;Deze fractie geeft nergens om.;Esta facção não dá a mínima para nada.;İòà ôğàêöèÿ íè î ÷åì íå ãîâîğèò.;Tämä ryhmä ei anna mitään mitään.;x
NullNationalValue;Amoral Country;Pays Amoral;Amoralisches Land;Amoralny Kraj;País Amoral;Paese Amorale;Amoral ország;Amoral Zemì;Amoral ország;Amoral land;País Amoral;Àìîğàëüíàÿ Ñòğàíà;Amoralmaa;x
noculturegroup;Paradoxian;Paradoxal;Paradoxisch;Paradoksalny;Paradójico;Paradossale;Paradox;Paradoxní;Paradox;Paradoxaal;Paradoxal;Ïàğàäîêñàëüíûé;Paradoksaalinen;x
noculture;No Culture;Pas Culturé;Kulturlos;Bez Kultury;Sin cultura;Senza cultura;Nincs kultúra;ádná Kultura;Nincs kultúra;Geen Cultuur;Sem Cultura;Íåò Êóëüòóğû;Ei Kulttuuria;x
none;Irreligious;Irréligieux;Irreligiös;Niereligijny;Irreligioso;Irreligioso;Vallástalan;Irreligious;Vallástalan;Ongodsdienstig;Irreligioso;Íåâåğóşùèé;Uskonnoton;x
noreligion;Atheism;Athéisme;Atheismus;Ateizm;Ateísmo;Ateismo;Ateizmus;Ateismus;Ateizmus;Atheïsme;Ateísmo;Àòåèçì;Ateismi;x
HRE_nogovernment;The Holy Roman Anarchy;La Sainte Anarchie Romaine;Die Heilige Römische Anarchie;Œwiêta Anarchia Rzymska;La Santa Anarquía Romana;La Sacra Romana Anarchia;A Szent Római Anarchia;Svatá Øímská Anarchie;A Szent Római Anarchia;De Heilige Romeinse Anarchie;A Anarquia Romana Sagrada;Ñâÿùåííàÿ Ğèìñêàÿ Àíàğõèÿ;Pyhä Roomalainen Anarkia;x
LTN_nogovernment;The Latin Anarchy;L'Anarchie Latine;Die Lateinische Anarchie;Anarchia £aciñska;La Anarquía Latina;L'Anarchia Latina;A Latin Anarchia;Latinská Anarchie;A Latin Anarchia;De Latijnse Anarchie;A Anarquia Latina;Ëàòèíñêàÿ Àíàğõèÿ;Latinalainen Anarkia;x
SPQ_nogovernment;The Roman Anarchy;L'Anarchie Romaine;Die Römische Anarchie;Anarchia Rzymska;La Anarquía Romana;L'Anarchia Romana;A Római Anarchia;Øímská Anarchie;A Római Anarchia;De Romeinse anarchie;A Anarquia Romana;Ğèìñêàÿ Àíàğõèÿ;Rooman Anarkia;x
AND_nogovernment;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
